,Componente 1,Componente 2,C. Manual,Clusters
123,0.08511048256167197,-0.7804804227278245,C-12_Viaticos,2
124,-0.5607667879975348,-0.9670617253975211,X-04_Reclasificar Servicios Front,5
125,-0.007833492758590034,-0.8619820383204742,X-04_Reclasificar Servicios Front,2
126,-0.5049829448616432,-1.2797901019060687,X-04_Reclasificar Servicios Front,5
127,1.6231606732387522,-1.376325001124475,S-01_Servicios SAP,4
128,-0.07991202508916123,-0.10509924963200519,C-07_Convivencia,3
129,-0.3246153307033749,0.05196581552553083,C-07_Convivencia,3
130,-0.06562783929306956,-0.17280542992165057,C-07_Convivencia,3
131,-0.3461575797643237,-0.6463952705264722,X-04_Reclasificar Servicios Front,5
132,-0.3558926915320286,-0.6674541432645843,X-04_Reclasificar Servicios Front,5
133,-0.11696654951541917,-0.24583710206542095,C-07_Convivencia,3
134,-0.12670166128312424,-0.26689597480353333,C-07_Convivencia,3
135,-0.16154793509376253,0.5027291992250441,O-01_Servicios Onbase,3
136,-0.3026693359487777,0.5121514921371187,O-01_Servicios Onbase,3
137,-0.3520327665368501,-0.1746073401327142,C-07_Convivencia,3
138,-0.4632608952776915,-0.7902016856254729,X-05_Reclasificar Servicios Front - App Movil,5
139,-0.3746055605219132,-0.236351120890288,C-07_Convivencia,3
140,0.826241436288351,-0.22647541102978053,C-03_Servicios InMotion_Construcción,2
141,2.0947443540763375,-0.6875243424980875,C-03_Servicios InMotion_Construcción,4
142,0.11238751450470652,-0.8011585079795356,C-12_Viaticos,2
143,0.24311729170843308,-0.9002617199272767,C-12_Viaticos,2
144,0.7356621752778362,-0.5475912106815728,C-03_Servicios InMotion_Construcción,2
145,1.0566504128816252,0.10675964546360064,X-01_Reclasificar - TI - Licencia Autos,2
146,2.7777649836948712,1.9531783347065077,C-09_Licencia - Daños,0
147,2.409671630341974,0.6278146790311464,C-02_Servicios GAP Daños/Vida,0
148,-0.48826975239025383,-0.9131368574715214,X-05_Reclasificar Servicios Front - App Movil,5
149,-0.4980048641579588,-0.9341957302096333,X-05_Reclasificar Servicios Front - App Movil,5
150,-0.5077399759256637,-0.9552546029477454,X-05_Reclasificar Servicios Front - App Movil,5
151,-0.18693832320285844,-1.1405046728700867,C-11_PMO & Soporte - Autos,5
152,-0.19667343497056347,-1.161563545608199,C-11_PMO & Soporte - Autos,5
153,-0.250119558812561,-0.7352439056455917,C-12_Viaticos,5
154,-0.49728195490592225,-0.43541923714599146,C-07_Convivencia,5
155,-0.4696032195210392,-0.5555017872544333,C-07_Convivencia,5
156,-0.46935343791675477,-0.4914067984252555,C-07_Convivencia,5
157,-0.2827150694653608,0.3437110569146692,S-02_Licencia SAP,3
